Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=128, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 9/200] [Batch 21/27] [D loss: 0.759576] [G loss: 0.437566]
[Epoch 9/200] [Batch 22/27] [D loss: 0.798601] [G loss: 0.369199]
[Epoch 9/200] [Batch 23/27] [D loss: 0.752851] [G loss: 0.439041]
[Epoch 9/200] [Batch 24/27] [D loss: 0.721570] [G loss: 0.584186]
[Epoch 9/200] [Batch 25/27] [D loss: 0.746582] [G loss: 0.691134]
[Epoch 9/200] [Batch 26/27] [D loss: 0.698197] [G loss: 0.769995]
[Epoch 10/200] [Batch 0/27] [D loss: 0.698063] [G loss: 0.779411]
[Epoch 10/200] [Batch 1/27] [D loss: 0.707860] [G loss: 0.827691]
[Epoch 10/200] [Batch 2/27] [D loss: 0.712775] [G loss: 0.803522]
[Epoch 10/200] [Batch 3/27] [D loss: 0.689071] [G loss: 0.789586]
[Epoch 10/200] [Batch 4/27] [D loss: 0.689784] [G loss: 0.784802]
[Epoch 10/200] [Batch 5/27] [D loss: 0.716308] [G loss: 0.765354]
[Epoch 10/200] [Batch 6/27] [D loss: 0.730386] [G loss: 0.714551]
[Epoch 10/200] [Batch 7/27] [D loss: 0.704279] [G loss: 0.779650]
[Epoch 10/200] [Batch 8/27] [D loss: 0.717594] [G loss: 0.800393]
[Epoch 10/200] [Batch 9/27] [D loss: 0.709449] [G loss: 0.812558]
[Epoch 10/200] [Batch 10/27] [D loss: 0.700105] [G loss: 0.779646]
[Epoch 10/200] [Batch 11/27] [D loss: 0.704327] [G loss: 0.784668]
[Epoch 10/200] [Batch 12/27] [D loss: 0.717176] [G loss: 0.782150]
[Epoch 10/200] [Batch 13/27] [D loss: 0.704227] [G loss: 0.819600]
[Epoch 10/200] [Batch 14/27] [D loss: 0.706353] [G loss: 0.796534]
[Epoch 10/200] [Batch 15/27] [D loss: 0.687327] [G loss: 0.796502]
[Epoch 10/200] [Batch 16/27] [D loss: 0.682356] [G loss: 0.802422]
[Epoch 10/200] [Batch 17/27] [D loss: 0.687915] [G loss: 0.797637]
[Epoch 10/200] [Batch 18/27] [D loss: 0.708127] [G loss: 0.797739]
[Epoch 10/200] [Batch 19/27] [D loss: 0.688362] [G loss: 0.772919]
[Epoch 10/200] [Batch 20/27] [D loss: 0.697608] [G loss: 0.757596]
[Epoch 10/200] [Batch 21/27] [D loss: 0.683985] [G loss: 0.791258]
[Epoch 10/200] [Batch 22/27] [D loss: 0.677280] [G loss: 0.769326]
[Epoch 10/200] [Batch 23/27] [D loss: 0.718900] [G loss: 0.724897]
[Epoch 10/200] [Batch 24/27] [D loss: 0.710354] [G loss: 0.757286]
[Epoch 10/200] [Batch 25/27] [D loss: 0.672027] [G loss: 0.752480]
[Epoch 10/200] [Batch 26/27] [D loss: 0.696424] [G loss: 0.742964]
[Epoch 11/200] [Batch 0/27] [D loss: 0.683509] [G loss: 0.739860]
[Epoch 11/200] [Batch 1/27] [D loss: 0.700551] [G loss: 0.732617]
[Epoch 11/200] [Batch 2/27] [D loss: 0.693039] [G loss: 0.719103]
[Epoch 11/200] [Batch 3/27] [D loss: 0.699892] [G loss: 0.716899]
[Epoch 11/200] [Batch 4/27] [D loss: 0.704044] [G loss: 0.699782]
[Epoch 11/200] [Batch 5/27] [D loss: 0.700983] [G loss: 0.703113]
[Epoch 11/200] [Batch 6/27] [D loss: 0.685737] [G loss: 0.710486]
[Epoch 11/200] [Batch 7/27] [D loss: 0.709464] [G loss: 0.716952]
[Epoch 11/200] [Batch 8/27] [D loss: 0.697638] [G loss: 0.696212]
[Epoch 11/200] [Batch 9/27] [D loss: 0.699125] [G loss: 0.711362]
[Epoch 11/200] [Batch 10/27] [D loss: 0.701598] [G loss: 0.745630]
[Epoch 11/200] [Batch 11/27] [D loss: 0.690896] [G loss: 0.725500]
[Epoch 11/200] [Batch 12/27] [D loss: 0.698700] [G loss: 0.713759]
[Epoch 11/200] [Batch 13/27] [D loss: 0.708018] [G loss: 0.723918]
[Epoch 11/200] [Batch 14/27] [D loss: 0.695573] [G loss: 0.723522]
[Epoch 11/200] [Batch 15/27] [D loss: 0.703827] [G loss: 0.734215]
[Epoch 11/200] [Batch 16/27] [D loss: 0.692384] [G loss: 0.746921]
[Epoch 11/200] [Batch 17/27] [D loss: 0.696111] [G loss: 0.740609]
[Epoch 11/200] [Batch 18/27] [D loss: 0.694143] [G loss: 0.745101]
[Epoch 11/200] [Batch 19/27] [D loss: 0.688691] [G loss: 0.759800]
[Epoch 11/200] [Batch 20/27] [D loss: 0.692469] [G loss: 0.749776]
[Epoch 11/200] [Batch 21/27] [D loss: 0.688868] [G loss: 0.754926]
[Epoch 11/200] [Batch 22/27] [D loss: 0.689583] [G loss: 0.740106]
[Epoch 11/200] [Batch 23/27] [D loss: 0.689028] [G loss: 0.750690]
[Epoch 11/200] [Batch 24/27] [D loss: 0.690920] [G loss: 0.753267]
[Epoch 11/200] [Batch 25/27] [D loss: 0.684170] [G loss: 0.752091]
[Epoch 11/200] [Batch 26/27] [D loss: 0.683225] [G loss: 0.744831]
